"DS_Bullock","GF","logPH","logSM","logLA","logRD","logLeafN","logSLA","logWD","logLambda","logGauss2D","logSpeedGauss","logSpeedLap"
"vertebrate","woody",2.92896657724173,4.9544715296272,8.22366140461163,0.11997748340719,2.17457437094654,-0.315067765875406,-0.441102789944027,0.121677528211621,2.21684986411706,1.61524209686645,2.13105132253841
"wind.appendage","woody",3.95657097928152,3.9915088461061,6.15452579775295,3.11918625963709,2.94712626123548,-0.703295630923644,-0.453234971488296,0.463375483444107,4.42919559296797,4.49616951115689,5.07797858557407
"wind.appendage","woody",3.76192037465271,3.73999902789172,8.01712030421491,0.329931871311988,2.94310395002227,-0.806922893944893,-0.375070374682254,0.0607386813222583,3.82583404766451,2.87682948805227,3.37880555477529
"wind.appendage","woody",2.91369934506762,1.89537007236737,7.18328721527224,0.269525383063885,2.47628396336939,-0.905942315815961,-0.857298692157919,0.365950700292871,2.63679654830488,2.58575092694093,3.15034576873619
"wind.appendage","woody",3.6324846920895,3.50608005808832,6.74652942401322,2.95128263113572,3.19183630569115,-1.00010894077894,-0.727102908100735,0.240476201034153,1.98790907253285,1.72692470255643,2.26761711770934
"wind.appendage","woody",3.78969480958145,3.68955220012378,7.91606911841423,1.0513299707839,2.9121693839206,-1.02547172460937,-0.772157554362536,0.436996644528403,4.79910514192177,4.83677296604086,5.41402319346666
"wind.appendage","woody",2.95717118233458,1.97389464367884,6.94879461335193,0.752131824315014,2.69719100584592,-1.48013782798617,-0.804183722463976,0.355109616440196,4.63753888107573,4.57145720713305,5.13407102890107
"wind.appendage","woody",4.01330396963466,3.50751931265259,7.49690775514529,-0.238947386560392,2.84156461664328,-1.22286361172124,-0.788662456661419,0.385346070968348,5.7332281872329,5.70800416111334,6.27623059063365
"wind.appendage","woody",3.68887945411394,3.51710585146735,5.65550035946708,1.48553923878741,2.57864306221744,-1.40531722493997,-0.689631150864413,0.256509713354863,6.1384897959196,5.90977812807983,6.45369394941024
"wind.appendage","woody",3.56836040149394,2.26048924704176,4.6356357934714,0.665673623576076,2.912946735473,-0.139548750977517,-1.0238860816647,0.857771430982938,3.12452020952832,3.49939410859774,4.14204003123546
"wind.appendage","woody",3.17710939338875,2.20860742446975,6.74407741431382,0.726117060381521,2.51956329879563,-0.54535499117181,-1.06628443068471,0.123333114201016,1.54777951479114,0.952929050699558,1.4691029802619
"wind.appendage","woody",2.77258872223978,3.49951519900204,9.6660489160817,-1.88772107172798,2.52341992006152,-0.918990986690583,-0.758813494593048,0.588218976332238,1.45344217880307,1.63969688825146,2.24213296807803
"vertebrate","woody",1.56275560839133,4.26170587130144,9.63163396086713,-2.00306648853839,2.53346595953526,-0.0159117235258133,-0.67128775046358,0.154244082904431,2.86245801715058,2.37943123376128,2.90231490773281
"wind.none","woody",2.07944154167984,4.06918058855855,9.56920845750147,0.749168332921727,2.52452345448659,-0.495577932648258,-0.913552128509484,0.194556452092473,6.76968847974612,6.40275472707805,6.93446032639205
"vertebrate","woody",1.94591014905531,5.52146091786225,6.90496020234642,0.929158864844247,2.32628778503841,-0.9281286041206,-0.410581556778142,1.06256512991324,3.59878449250456,4.08071015713382,4.75078928049428
"wind.none","woody",2.07944154167984,3.57982792298577,10.1992085761059,0.0378192768688497,1.9758643338044,-0.508227765479392,-0.768370756945904,0.152429739888102,7.43980917273776,6.95086612245476,7.47721408768618
"vertebrate","woody",2.64579156538777,4.93066609343404,4.98079575553876,0.541228113100936,2.11868836300809,-1.21370616350182,-0.384279078382744,0.247154224180955,3.01175065212399,2.76446198350968,3.30648274038545
"ant","woody",1.4522362755632,4.34419070280535,9.47081650993357,0.739184266519999,2.4299667875212,-0.762957018655498,-0.399940546722081,0.198881962371264,1.40471724882592,1.04877806203724,1.58103784560139
"vertebrate","woody",1.35671925669333,2.62539064817465,8.50242358794841,0.211098605565206,2.19630871312679,-0.432022049925384,-0.48425397097548,0.555185199041582,-0.136417414310053,0.0209385265135665,0.618056355813165
