"DS_Bullock","GF","logPH","logSM","logLA","logRD","logLeafN","logSLA","logWD","logLambda","logGauss2D","logSpeedGauss"
"vertebrate","woody",2.92896657724173,4.9544715296272,10.2178862554697,1.012011734379,2.59610052821229,-0.567220166983265,-0.881902708719206,0.299275727615762,4.02141803342567,3.86980575642201
"vertebrate","woody",2.92896657724173,4.9544715296272,8.83160674892627,1.46710655573878,2.18206232077896,-1.32844175375815,-0.389029033947716,0.819103418485413,3.95883791376352,4.31064815455097
"vertebrate","woody",2.92896657724173,4.9544715296272,10.4826372610583,1.79367933564421,2.71457899534371,-1.95508851627974,-0.240325382541497,0.715323236435748,5.88854014712651,6.17261247265901
"vertebrate","woody",2.92896657724173,4.9544715296272,9.5000798905012,0.898643920258274,3.00464759785095,-1.47632284297874,-0.477449162377086,0.214721098613606,5.40478251717684,5.08715756810737
"vertebrate","woody",2.92896657724173,4.9544715296272,9.67275146768351,0.532985853423853,2.89502271078488,-0.667315011719332,-0.547724063542407,0.374040254442538,3.29993648805281,3.25982326576215
"vertebrate","woody",2.92896657724173,4.9544715296272,10.9606937343401,1.54409709358291,2.43205634094352,-0.985581349130883,-0.409697195895257,0.185626107208959,2.40942990844249,2.0190022113915
"vertebrate","woody",2.92896657724173,4.9544715296272,10.5652302977751,-1.80928914545623,2.53527335387643,-1.21897403527846,-0.246004681879801,0.0600074368913237,2.11967839885449,1.16461771601782
"vertebrate","woody",2.92896657724173,4.9544715296272,9.83422615690335,0.865927268286428,3.38773477127631,-0.798073831819619,-0.706552208355866,0.165510002545615,3.67449469965396,3.22671558111879
"vertebrate","woody",2.92896657724173,4.9544715296272,8.9462865346056,0.574334538669605,2.72215814994818,-2.49154623096032,-0.369678626862249,0.615896000179353,6.78602099268696,6.9952651176865
"vertebrate","woody",2.92896657724173,4.9544715296272,9.0615571017792,-0.329301195472818,2.8753360903265,-1.03865195863439,-0.261900179802306,0.0837828418000268,-0.329317978445588,-1.11749879528027
"vertebrate","woody",2.92896657724173,4.9544715296272,10.2372425408734,2.32850738831537,2.77819392415385,-1.89451612970441,-0.123725790821405,0.423507279035502,4.22579061462863,4.24778103130182
"vertebrate","woody",2.92896657724173,4.9544715296272,9.97946862027142,0.69541076892716,3.2269123543413,-1.5513281653832,-0.393492029332963,0.294600074611799,3.54802361614157,3.38853806058659
"vertebrate","woody",2.92896657724173,4.9544715296272,8.591740176209,-0.195531772739517,2.48317112781899,-1.28282276848662,-0.653526182904239,1.28926400588908,3.79463235211583,4.37325081614745
"vertebrate","woody",2.92896657724173,4.9544715296272,9.95603378637009,1.24348182714336,2.26998559809027,-2.08832224702411,-0.50968203305662,0.283198878548293,8.08309140772382,7.9038711744639
"vertebrate","woody",2.92896657724173,4.9544715296272,9.42197202887455,0.291945991231039,2.56891850936924,-1.17543770051745,-0.323424729542362,0.623971495455158,0.9639119731937,1.17966938247495
"wind.appendage","woody",3.95657097928152,3.9915088461061,7.34542913313304,2.10914056749979,3.71143148133805,-1.29919394968351,-0.532569025294436,0.281295264639312,5.19316502855002,5.01057253510281
"wind.appendage","woody",3.95657097928152,3.9915088461061,9.29195228788302,-1.39703801924189,3.42394604311717,-0.719424102672688,-0.655245129470505,0.53792776360134,2.1915462854915,2.33311349266388
"wind.appendage","woody",3.95657097928152,3.9915088461061,7.56921406561836,1.7739269492228,2.86555250337724,-0.856796231142297,-0.952202694007934,0.481548793902427,4.37286231144621,4.45907115893874
"wind.appendage","woody",3.95657097928152,3.9915088461061,9.45966362659861,2.42018132885303,2.99394601859849,-1.17739019493496,-0.464985642498991,0.948759371306634,3.89399524291343,4.31927791180737
"wind.appendage","woody",3.95657097928152,3.9915088461061,6.64466200138403,0.804949532491598,2.97557386181614,-1.15164228613528,-0.180653619142354,0.168289710870681,1.26201900693666,0.822567554575708
